people_name_sponsors,bipartisan_rate1,bipartisan_rate2,weighted_bipartisan_rate2,bipartisan_rate3,weighted_bipartisan_rate3,bills_sponsored,introduced_num,passed_num,failed_num,vetoed_num,engrossed_num,enrolled_num,total_bills
Leland Yee,0.3273767731599057,0.22920319305861475,0.2774929220712353,0.14344747701766555,0.20673202716548061,240,47,102,6,37,48,0,13133
Michael Allen,0.40072115384615387,0.1984375,0.18257211538461537,0.14077224715636621,0.15854533922147826,194,52,80,20,16,26,0,8468
Ted Lieu,0.3702764347613254,0.24888706010052816,0.30390087651776626,0.16472099734114987,0.22142788699049476,383,56,210,6,52,58,1,13133
Alex Padilla,0.44296614579308285,0.3554092369622749,0.3894877303616233,0.2235936594071637,0.28999665680831166,299,43,189,7,23,36,1,13133
Michael Rubio,0.4064220183486239,0.26972477064220185,0.24220183486238533,0.20746838493809605,0.182558501453831,114,27,51,5,6,25,0,8468
Curren Price,0.4685821394397766,0.4059788616394245,0.4302508378008765,0.1964084421197341,0.3408260842172418,284,61,140,6,23,54,0,13133
Julia Brownley,0.13804540094339623,0.05962558962264151,0.08940153301886793,0.047559418892764056,0.06546291835629559,340,28,156,24,35,96,1,8938
Mike Davis,0.27201754385964916,0.17271929824561405,0.19245614035087721,0.11050904240281548,0.1394391280782285,151,26,69,21,15,20,0,8938
Mike Feuer,0.13773617461823828,0.07320334742472608,0.09390906737986368,0.047449099229312335,0.06958328571377077,307,34,146,27,23,76,1,8938
Felipe Fuentes,0.2905786873676782,0.19342507645259938,0.22824041402023054,0.1406239711309234,0.16708599119232173,187,20,86,10,30,39,2,8938
Mary Hayashi,0.26802451333813987,0.12166546503244412,0.17483777937995673,0.09356175353345064,0.1258577500130029,111,18,59,8,12,14,0,8938
Fiona Ma,0.3864389545831136,0.2677562702417715,0.2898621676583566,0.17929093711559815,0.20986444047527855,329,38,154,24,58,53,2,8938
Sandre Swanson,0.16560498468393203,0.08380325814536341,0.11083263714842662,0.058142566263488946,0.08698542375677569,341,46,140,42,28,83,2,8938
Gilbert Cedillo,0.2537593984962406,0.20585554796081112,0.22761449077238552,0.13810741599276138,0.16674663580843563,191,41,90,14,14,31,1,8938
Alan Lowenthal,0.3503676470588235,0.2709558823529412,0.31691176470588234,0.15146139547250942,0.23540567677385843,148,21,77,2,19,29,0,8938
Gloria McLeod,0.47135071439092646,0.44152305199587566,0.44152305199587566,0.283625683311239,0.3351473174822138,166,46,85,3,14,18,0,8938
Jeff Miller,0.5388059701492537,0.2967164179104478,0.2867164179104478,0.21747486793278953,0.21971226680254713,117,44,36,17,5,15,0,8938
Jose Solorio,0.3843167701863354,0.23975155279503105,0.2694099378881988,0.16775146353421097,0.20049797246737844,255,42,122,15,38,38,0,8938
Alyson Huber,0.42638888888888893,0.2972222222222222,0.28888888888888886,0.2021739797425765,0.22279495508891917,132,33,52,12,13,22,0,8938
Christine Kehoe,0.3510822510822511,0.3216450216450216,0.33636363636363636,0.1769682452679347,0.26748490106202544,136,9,95,1,16,15,0,8938
Kevin Jeffries,0.5911113214691405,0.3643742900416509,0.31164804998106777,0.25984960858678774,0.2428423782939852,291,94,106,38,12,38,3,8938
Linda Halderman,0.6181818181818182,0.2909090909090909,0.2545454545454545,0.20650493598072153,0.20219914736775768,55,12,22,14,2,5,0,4273
Elaine Alquist,0.333805811481219,0.2333704566163815,0.25802369140427256,0.14515469809459255,0.2053692259571614,285,53,139,6,43,43,1,8938
Jared Huffman,0.2253750815394651,0.1199853228962818,0.16364970645792565,0.08434143031900859,0.11513224522247839,387,39,174,33,38,101,2,8938
Cameron Smyth,0.5797264189465088,0.4024091465904451,0.4208350347080441,0.2906984632122691,0.29130663203619395,203,53,86,21,10,32,1,8938
Tony Strickland,0.5809451219512195,0.4510670731707317,0.4448170731707317,0.29787497357122145,0.33091612630076994,162,68,65,6,9,14,0,8938
Paul Cook,0.6264367816091954,0.3908045977011494,0.3505747126436781,0.2852636885095227,0.2782911012562339,174,42,77,25,8,20,2,8938
Jim Silva,0.5048076923076923,0.28583916083916083,0.23819930069930068,0.20064211896818784,0.18531904902590224,192,69,64,24,11,22,2,8938
Bill Berryhill,0.5496019595835885,0.35540416411512554,0.30388854868340476,0.24698753795956135,0.23708133973085369,163,57,43,35,10,17,1,8938
Charles Calderon,0.18866943866943867,0.14241164241164242,0.15592515592515593,0.10962247205116547,0.10468635310460847,89,16,30,15,11,16,1,8938
Wilmer Carter,0.26414427157001413,0.13517423170888518,0.16857400025716857,0.09174463246220327,0.12465072852405666,279,38,113,32,29,67,0,8938
Mike Eng,0.25950129773822767,0.121384872080089,0.18469595847237671,0.08411209953511464,0.13641343077454207,211,35,87,12,50,27,0,8938
Nathan Fletcher,0.6381361533377397,0.4543008214521764,0.4445755830422057,0.29618053272605405,0.3337456597080747,208,62,86,30,8,21,1,8938
Warren Furutani,0.2337126600284495,0.11273115220483641,0.14879089615931723,0.08384742806006612,0.11356387413789752,169,41,61,18,27,21,1,8938
Dave Jones,0.47050865800865804,0.2435064935064935,0.19561688311688313,0.16327886592535204,0.16266176124893422,212,36,80,26,40,30,0,8938
Chris Norby,0.454066985645933,0.23157894736842105,0.24066985645933014,0.17789750444325453,0.17298503796334985,74,28,15,19,1,11,0,8938
Joseph Simitian,0.303030303030303,0.25984848484848483,0.2689393939393939,0.15156490166751363,0.2241505501402929,115,10,58,0,18,28,1,8938
Betsy Butler,0.1693548387096774,0.0967741935483871,0.13709677419354838,0.07083174586894042,0.08851737312857393,124,9,77,7,8,22,1,4273
Juan Vargas,0.3465346534653465,0.25742574257425743,0.297029702970297,0.17083906425864792,0.22253429749540338,101,25,47,9,11,9,0,4273
Robert Dutton,0.3372093023255814,0.1744186046511628,0.12790697674418605,0.13836544576774074,0.10308844446020138,172,106,35,10,6,15,0,8938
Martin Garrick,0.4708614864864865,0.2533783783783784,0.18623310810810811,0.18907599453177307,0.1523628792356937,170,75,41,29,7,17,1,8938
Tom Harman,0.5072416063199474,0.369376782971253,0.31051130129471144,0.24335531415089323,0.24227354486813424,191,74,71,18,8,20,0,8938
David Valadao,0.6,0.2909090909090909,0.2,0.1806053814049268,0.18999039029748166,55,17,15,17,1,5,0,4273
Doug La Malfa,0.5096153846153846,0.40384615384615385,0.3269230769230769,0.2723472081726735,0.26483890818858535,104,52,31,10,5,5,1,4273
Sam Blakeslee,0.5306878306878307,0.41507936507936505,0.37804232804232807,0.28624670452747497,0.27379613076311327,151,53,54,13,7,24,0,8938
Hector De La Torre,0.1962025316455696,0.10126582278481013,0.11392405063291139,0.06674667890230067,0.09740923176826828,158,17,45,21,17,58,0,4665
Mary Salas,0.3959731543624161,0.2684563758389262,0.2953020134228188,0.16841063375933527,0.22162120646401276,149,42,56,2,27,22,0,4665
Van Tran,0.5903614457831325,0.4819277108433735,0.4457831325301205,0.3259224099003908,0.3274687626584145,83,28,36,5,3,10,1,4665
