bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1976463,1567932,2025-05-07,Assembly,"Do pass",14,0,0,1,15
1976463,1572414,2025-05-15,Assembly,"AB 876 Flora Assembly Third Reading",61,1,0,17,79
1976465,1526903,2025-03-25,Assembly,"Do pass",9,1,0,2,12
1976466,1554576,2025-04-22,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",9,0,0,0,9
1976466,1562751,2025-04-30,Assembly,"Do pass. To Consent Calendar",14,0,0,1,15
1976466,1568625,2025-05-08,Assembly,"AB 879 Patterson Consent Calendar Second Day Regular Session",69,0,0,10,79
1976467,1535002,2025-04-02,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",21,0,0,1,22
1976467,1577588,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976468,1556106,2025-04-23,Assembly,"Do pass and be re-referred to the Committee on [Natural Resources]",17,0,0,1,18
1976468,1559428,2025-04-28,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",13,0,0,1,14
1976468,1571588,2025-05-14,Assembly,"Do pass",15,0,0,0,15
1976468,1573515,2025-05-19,Assembly,"AB 881 Petrie-Norris Assembly Third Reading",72,0,0,7,79
1976469,1540948,2025-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on [Appropriations]",8,0,0,4,12
1976469,1577798,2025-05-23,Assembly,"Do pass",11,1,0,3,15
1976472,1561040,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",10,0,0,0,10
1976473,1562819,2025-04-29,Assembly,"Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar",16,0,0,0,16
1976474,1529541,2025-03-26,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",9,0,0,0,9
1976474,1577607,2025-05-23,Assembly,"Do pass",14,0,0,1,15
1976475,1562977,2025-04-30,Assembly,"Do pass and be re-referred to the Committee on [Appropriations]",16,0,0,1,17
1976475,1577879,2025-05-23,Assembly,"Do pass",14,0,0,1,15
